iso639-2,iso639-3,iso639-5,iso639-1,ISO language name(s),Scope,Type,Other name(s)
cat,cat,,ca,Catalan; Valencian,Individual,Living,
cau,,cau,,Caucasian languages,Collective,,
ceb,ceb,,,Cebuano,Individual,Living,
cel,,cel,,Celtic languages,Collective,,
ces / cze*,ces,,cs,Czech,Individual,Living,
cha,cha,,ch,Chamorro,Individual,Living,
chb,chb,,,Chibcha,Individual,Extinct,
che,che,,ce,Chechen,Individual,Living,
chg,chg,,,Chagatai,Individual,Extinct,
chi* / zho,zho,,zh,Chinese,Macrolanguage,Living,
chk,chk,,,Chuukese,Individual,Living,
chm,chm,,,Mari,Macrolanguage,Living,
chn,chn,,,Chinook jargon,Individual,Living,
cho,cho,,,Choctaw,Individual,Living,
chp,chp,,,Chipewyan; Dene Suline,Individual,Living,
chr,chr,,,Cherokee,Individual,Living,
chu,chu,,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Individual,Ancient,
chv,chv,,cv,Chuvash,Individual,Living,
chy,chy,,,Cheyenne,Individual,Living,
cmc,,cmc,,Chamic languages,Collective,,
cop,cop,,,Coptic,Individual,Extinct,
cor,cor,,kw,Cornish,Individual,Living,
cos,cos,,co,Corsican,Individual,Living,
cpe,,cpe,,English based Creoles and pidgins,Collective,,
cpf,,cpf,,French-based Creoles and pidgins,Collective,,
cpp,,cpp,,Portuguese-based Creoles and pidgins,Collective,,
cre,cre,,cr,Cree,Macrolanguage,Living,
crh,crh,,,Crimean Tatar; Crimean Turkish,Individual,Living,
crp,,crp,,Creoles and pidgins,Collective,,
csb,csb,,,Kashubian,Individual,Living,Cassubian
cus,,cus,,Cushitic languages,Collective,,
cym / wel*,cym,,cy,Welsh,Individual,Living,
cze* / ces,ces,,cs,Czech,Individual,Living,
dak,dak,,,Dakota,Individual,Living,
dan,dan,,da,Danish,Individual,Living,
dar,dar,,,Dargwa,Individual,Living,
day,,day,,Land Dayak languages,Collective,,
del,del,,,Delaware,Macrolanguage,Living,
den,den,,,Slave (Athapascan),Macrolanguage,Living,Slavey
deu / ger*,deu,,de,German,Individual,Living,
dgr,dgr,,,Dogrib,Individual,Living,
din,din,,,Dinka,Macrolanguage,Living,
div,div,,dv,Dhivehi; Dhivehi; Maldivian,Individual,Living,
doi,doi,,,Dogri,Macrolanguage,Living,
dra,,dra,,Dravidian languages,Collective,,
dsb,dsb,,,Lower Sorbian,Individual,Living,
dua,dua,,,Duala,Individual,Living,
dum,dum,,,Middle Dutch (ca. 1050–1350),Individual,Historical,
dut* / nld,nld,,nl,Dutch; Flemish,Individual,Living,
dyu,dyu,,,Dyula,Individual,Living,Jula
dzo,dzo,,dz,Dzongkha,Individual,Living,
efi,efi,,,Efik,Individual,Living,
egy,egy,,,Egyptian (Ancient),Individual,Ancient,
eka,eka,,,Ekajuk,Individual,Living,Kajuk
ell / gre*,ell,,el,Modern Greek (1453–),Individual,Living,
elx,elx,,,Elamite,Individual,Ancient,
eng,eng,,en,English,Individual,Living,
enm,enm,,,Middle English (1100–1500),Individual,Historical,
epo,epo,,eo,Esperanto,Individual,Constructed,
est,est,,et,Estonian,Macrolanguage,Living,
eus / baq*,eus,,eu,Basque,Individual,Living,
ewe,ewe,,ee,Ewe,Individual,Living,
ewo,ewo,,,Ewondo,Individual,Living,Kolo
fan,fan,,,Fang,Individual,Living,
fao,fao,,fo,Faroese,Individual,Living,
fas / per*,fas,,fa,Persian,Macrolanguage,Living,Farsi
fat,fat,,,Fanti,Individual,Living,Fante
fij,fij,,fj,Fijian,Individual,Living,
fil,fil,,,Filipino; Pilipino,Individual,Living,
fin,fin,,fi,Finnish,Individual,Living,
fiu,,fiu,,Finno-Ugrian languages,Collective,,Finno-Ugric languages
fon,fon,,,Fon,Individual,Living,
fra / fre*,fra,,fr,French,Individual,Living,
fre* / fra,fra,,fr,French,Individual,Living,
frm,frm,,,Middle French (ca. 1400–1600),Individual,Historical,
fro,fro,,,Old French (842–ca. 1400),Individual,Historical,
frr,frr,,,Northern Frisian,Individual,Living,North Frisian
frs,frs,,,Eastern Frisian,Individual,Living,Saterland Frisian
fry,fry,,fy,Western Frisian,Individual,Living,West Frisian
ful,ful,,ff,Fulah,Macrolanguage,Living,Fula
fur,fur,,,Friulian,Individual,Living,
gaa,gaa,,,Ga,Individual,Living,
gay,gay,,,Gayo,Individual,Living,
gba,gba,,,Gbaya,Macrolanguage,Living,
gem,,gem,,Germanic languages,Collective,,
geo* / kat,kat,,ka,Georgian,Individual,Living,
ger* / deu,deu,,de,German,Individual,Living,
gez,gez,,,Geez,Individual,Ancient,Ge'ez
gil,gil,,,Gilbertese,Individual,Living,
gla,gla,,gd,Gaelic; Scottish Gaelic,Individual,Living,
gle,gle,,ga,Irish,Individual,Living,
glg,glg,,gl,Galician,Individual,Living,
glv,glv,,gv,Manx,Individual,Living,
gmh,gmh,,,Middle High German (ca. 1050–1500),Individual,Historical,
goh,goh,,,Old High German (ca. 750–1050),Individual,Historical,
gon,gon,,,Gondi,Macrolanguage,Living,
gor,gor,,,Gorontalo,Individual,Living,
got,got,,,Gothic,Individual,Ancient,
grb,grb,,,Grebo,Macrolanguage,Living,
grc,grc,,,Ancient Greek (to 1453),Individual,Historical,
gre* / ell,ell,,el,Modern Greek (1453–),Individual,Living,
grn,grn,,gn,Guarani,Macrolanguage,Living,
gsw,gsw,,,Swiss German; Alemannic; Alsatian,Individual,Living,
guj,guj,,gu,Gujarati,Individual,Living,
gwi,gwi,,,Gwichʼin,Individual,Living,
hai,hai,,,Haida,Macrolanguage,Living,
hat,hat,,ht,Haitian; Haitian Creole,Individual,Living,
hau,hau,,ha,Hausa,Individual,Living,
haw,haw,,,Hawaiian,Individual,Living,
heb,heb,,he,Hebrew,Individual,Living,
her,her,,hz,Herero,Individual,Living,
hil,hil,,,Hiligaynon,Individual,Living,
him,,him [1],,Himachali languages; Western Pahari languages,Collective,,
hin,hin,,hi,Hindi,Individual,Living,
hit,hit,,,Hittite,Individual,Ancient,
hmn,hmn,,,Hmong; Mong,Macrolanguage,Living,
hmo,hmo,,ho,Hiri Motu,Individual,Living,
hrv,hrv,,hr,Croatian,Individual,Living,
hsb,hsb,,,Upper Sorbian,Individual,Living,
hun,hun,,hu,Hungarian,Individual,Living,
hup,hup,,,Hupa,Individual,Living,
hye / arm*,hye,,hy,Armenian,Individual,Living,
iba,iba,,,Iban,Individual,Living,
ibo,ibo,,ig,Igbo,Individual,Living,
ice* / isl,isl,,is,Icelandic,Individual,Living,
ido,ido,,io,Ido,Individual,Constructed,
iii,iii,,ii,Sichuan Yi; Nuosu,Individual,Living,
ijo,,ijo,,Ijo languages,Collective,,Ijaw languages
iku,iku,,iu,Inuktitut,Macrolanguage,Living,
ile,ile,,ie,Interlingue; Occidental,Individual,Constructed,
ilo,ilo,,,Iloko,Individual,Living,Ilocano
ina,ina,,ia,Interlingua (International Auxiliary Language Association),Individual,Constructed,
inc,,inc,,Indic languages,Collective,,Indo-Aryan languages
ind,ind,,id,Indonesian,Individual,Living,
ine,,ine,,Indo-European languages,Collective,,
inh,inh,,,Ingush,Individual,Living,
ipk,ipk,,ik,Inupiaq,Macrolanguage,Living,
ira,,ira,,Iranian languages,Collective,,
iro,,iro,,Iroquoian languages,Collective,,
isl / ice*,isl,,is,Icelandic,Individual,Living,
ita,ita,,it,Italian,Individual,Living,
jav,jav,,jv,Javanese,Individual,Living,
jbo,jbo,,,Lojban,Individual,Constructed,
jpn,jpn,,ja,Japanese,Individual,Living,
jpr,jpr,,,Judeo-Persian,Individual,Living,
jrb,jrb,,,Judeo-Arabic,Macrolanguage,Living,
kaa,kaa,,,Kara-Kalpak,Individual,Living,Karakalpak
kab,kab,,,Kabyle,Individual,Living,
kac,kac,,,Kachin; Jingpho,Individual,Living,
kal,kal,,kl,Kalaallisut; Greenlandic,Individual,Living,
kam,kam,,,Kamba,Individual,Living,
kan,kan,,kn,Kannada,Individual,Living,
kar,,kar,,Karen languages,Collective,,Karenic languages
kas,kas,,ks,Kashmiri,Individual,Living,
kat / geo*,kat,,ka,Georgian,Individual,Living,
kau,kau,,kr,Kanuri,Macrolanguage,Living,
kaw,kaw,,,Kawi,Individual,Ancient,
kaz,kaz,,kk,Kazakh,Individual,Living,
kbd,kbd,,,Kabardian,Individual,Living,
kha,kha,,,Khasi,Individual,Living,
khi,,khi,,Khoisan languages,Collective,,
khm,khm,,km,Central Khmer,Individual,Living,
kho,kho,,,Khotanese; Sakan,Individual,Ancient,Saka
kik,kik,,ki,Kikuyu; Gikuyu,Individual,Living,
kin,kin,,rw,Kinyarwanda,Individual,Living,
kir,kir,,ky,Kirghiz; Kyrgyz,Individual,Living,
kmb,kmb,,,Kimbundu,Individual,Living,
kok,kok,,,Konkani,Macrolanguage,Living,
kom,kom,,kv,Komi,Macrolanguage,Living,
kon,kon,,kg,Kongo,Macrolanguage,Living,
kor,kor,,ko,Korean,Individual,Living,
kos,kos,,,Kosraean,Individual,Living,
kpe,kpe,,,Kpelle,Macrolanguage,Living,
krc,krc,,,Karachay-Balkar,Individual,Living,
krl,krl,,,Karelian,Individual,Living,
kro,,kro,,Kru languages,Collective,,
kru,kru,,,Kurukh,Individual,Living,
kua,kua,,kj,Kuanyama; Kwanyama,Individual,Living,
kum,kum,,,Kumyk,Individual,Living,
kur,kur,,ku,Kurdish,Macrolanguage,Living,
kut,kut,,,Kutenai,Individual,Living,
lad,lad,,,Ladino,Individual,Living,Judaeo-Spanish
lah,lah,,,Lahnda,Macrolanguage,Living,Western Punjabi
lam,lam,,,Lamba,Individual,Living,
lao,lao,,lo,Lao,Individual,Living,
lat,lat,,la,Latin,Individual,Ancient,
lav,lav,,lv,Latvian,Macrolanguage,Living,
lez,lez,,,Lezghian,Individual,Living,Lezgian
lim,lim,,li,Limburgan; Limburger; Limburgish,Individual,Living,
lin,lin,,ln,Lingala,Individual,Living,
lit,lit,,lt,Lithuanian,Individual,Living,
lol,lol,,,Mongo,Individual,Living,
loz,loz,,,Lozi,Individual,Living,
ltz,ltz,,lb,Luxembourgish; Letzeburgesch,Individual,Living,
lua,lua,,,Luba-Lulua,Individual,Living,Luba-Kasai
lub,lub,,lu,Luba-Katanga,Individual,Living,
lug,lug,,lg,Ganda,Individual,Living,Luganda
lui,lui,,,Luiseno,Individual,Living,
lun,lun,,,Lunda,Individual,Living,
luo,luo,,,Luo (Kenya and Tanzania),Individual,Living,
lus,lus,,,Lushai,Individual,Living,Mizo
mac* / mkd,mkd,,mk,Macedonian,Individual,Living,
mad,mad,,,Madurese,Individual,Living,
mag,mag,,,Magahi,Individual,Living,
mah,mah,,mh,Marshallese,Individual,Living,
mai,mai,,,Maithili,Individual,Living,
mak,mak,,,Makasar,Individual,Living,Makassarese
mal,mal,,ml,Malayalam,Individual,Living,
man,man,,,Mandingo,Macrolanguage,Living,Manding
mao* / mri,mri,,mi,Maori,Individual,Living,
map,,map,,Austronesian languages,Collective,,
mar,mar,,mr,Marathi,Individual,Living,
mas,mas,,,Masai,Individual,Living,
may* / msa,msa,,ms,Malay,Macrolanguage,Living,
mdf,mdf,,,Moksha,Individual,Living,
mdr,mdr,,,Mandar,Individual,Living,
men,men,,,Mende,Individual,Living,
mga,mga,,,Middle Irish (900–1200),Individual,Historical,
mic,mic,,,Mi'kmaq; Micmac,Individual,Living,
min,min,,,Minangkabau,Individual,Living,
mis,mis,,,Uncoded languages,Special,,
mkd / mac*,mkd,,mk,Macedonian,Individual,Living,
mkh,,mkh,,Mon-Khmer languages,Collective,,Austroasiatic languages
mlg,mlg,,mg,Malagasy,Macrolanguage,Living,
mlt,mlt,,mt,Maltese,Individual,Living,
mnc,mnc,,,Manchu,Individual,Living,
mni,mni,,,Manipuri,Individual,Living,Meitei
mno,,mno,,Manobo languages,Collective,,
moh,moh,,,Mohawk,Individual,Living,
mon,mon,,mn,Mongolian,Macrolanguage,Living,
mos,mos,,,Mossi,Individual,Living,
mri / mao*,mri,,mi,Maori,Individual,Living,
msa / may*,msa,,ms,Malay,Macrolanguage,Living,
mul,mul,,,Multiple languages,Special,,
mun,,mun,,Munda languages,Collective,,
mus,mus,,,Creek,Individual,Living,Muscogee
mwl,mwl,,,Mirandese,Individual,Living,
mwr,mwr,,,Marwari,Macrolanguage,Living,
mya / bur*,mya,,my,Burmese,Individual,Living,Myanmar
myn,,myn,,Mayan languages,Collective,,
myv,myv,,,Erzya,Individual,Living,
nah,,nah,,Nahuatl languages,Collective,,Nahuan languages
nai,,nai,,North American Indian languages,Collective,,
nap,nap,,,Neapolitan,Individual,Living,
nau,nau,,na,Nauru,Individual,Living,Nauruan
nav,nav,,nv,Navajo; Navaho,Individual,Living,
nbl,nbl,,nr,South Ndebele,Individual,Living,Southern Ndebele
nde,nde,,nd,North Ndebele,Individual,Living,Northern Ndebele
ndo,ndo,,ng,Ndonga,Individual,Living,
nds,nds,,,Low German; Low Saxon,Individual,Living,
nep,nep,,ne,Nepali,Macrolanguage,Living,
new,new,,,Nepal Bhasa; Newari,Individual,Living,Newar
nia,nia,,,Nias,Individual,Living,
nic,,nic,,Niger-Kordofanian languages,Collective,,Niger-Congo languages
niu,niu,,,Niuean,Individual,Living,
nld / dut*,nld,,nl,Dutch; Flemish,Individual,Living,
nno,nno,,nn,Norwegian Nynorsk,Individual,Living,Nynorsk
nob,nob,,nb,Norwegian Bokmål,Individual,Living,Bokmål
nog,nog,,,Nogai,Individual,Living,
non,non,,,Old Norse,Individual,Historical,
nor,nor,,no,Norwegian,Macrolanguage,Living,
nqo,nqo,,,N'Ko,Individual,Living,
nso,nso,,,Pedi; Sepedi; Northern Sotho,Individual,Living,
nub,,nub,,Nubian languages,Collective,,
nwc,nwc,,,Classical Newari; Old Newari; Classical Nepal Bhasa,Individual,Historical,
nya,nya,,ny,Chichewa; Chewa; Nyanja,Individual,Living,
nym,nym,,,Nyamwezi,Individual,Living,
nyn,nyn,,,Nyankole,Individual,Living,Nkore
nyo,nyo,,,Nyoro,Individual,Living,
nzi,nzi,,,Nzima,Individual,Living,Nzema
oci,oci,,oc,Occitan (post 1500),Individual,Living,
oji,oji,,oj,Ojibwa,Macrolanguage,Living,Ojibwe
ori,ori,,or,Oriya,Macrolanguage,Living,Odia
orm,orm,,om,Oromo,Macrolanguage,Living,
osa,osa,,,Osage,Individual,Living,
oss,oss,,os,Ossetian; Ossetic,Individual,Living,
ota,ota,,,Ottoman Turkish (1500–1928),Individual,Historical,
oto,,oto,,Otomian languages,Collective,,Oto-Pamean languages
paa,,paa,,Papuan languages,Collective,,
pag,pag,,,Pangasinan,Individual,Living,
pal,pal,,,Pahlavi,Individual,Ancient,Middle Persian
pam,pam,,,Pampanga; Kapampangan,Individual,Living,
pan,pan,,pa,Panjabi; Punjabi,Individual,Living,
pap,pap,,,Papiamento,Individual,Living,
pau,pau,,,Palauan,Individual,Living,
peo,peo,,,Old Persian (ca. 600–400 B.C.),Individual,Historical,
per* / fas,fas,,fa,Persian,Macrolanguage,Living,
phi,,phi,,Philippine languages,Collective,,
phn,phn,,,Phoenician,Individual,Ancient,
pli,pli,,pi,Pali,Individual,Ancient,
pol,pol,,pl,Polish,Individual,Living,
pon,pon,,,Pohnpeian,Individual,Living,
por,por,,pt,Portuguese,Individual,Living,
pra,,pra,,Prakrit languages,Collective,,
pro,pro,,,Old Provençal (to 1500); Old Occitan (to 1500),Individual,Historical,
pus,pus,,ps,Pushto; Pashto,Macrolanguage,Living,
qaa-qtz,qaa-qtz,,,Reserved for local use,Local,,
que,que,,qu,Quechua,Macrolanguage,Living,
raj,raj,,,Rajasthani,Macrolanguage,Living,
rap,rap,,,Rapanui,Individual,Living,
rar,rar,,,Rarotongan; Cook Islands Maori,Individual,Living,
roa,,roa,,Romance languages,Collective,,
roh,roh,,rm,Romansh,Individual,Living,
rom,rom,,,Romany,Macrolanguage,Living,Romani
ron / rum*,ron,,ro,Romanian; Moldavian; Moldovan,Individual,Living,
rum* / ron,ron,,ro,Romanian; Moldavian; Moldovan,Individual,Living,
run,run,,rn,Rundi,Individual,Living,Kirundi
rup,rup,,,Aromanian; Arumanian; Macedo-Romanian,Individual,Living,
rus,rus,,ru,Russian,Individual,Living,
sad,sad,,,Sandawe,Individual,Living,
sag,sag,,sg,Sango,Individual,Living,
sah,sah,,,Yakut,Individual,Living,
sai,,sai,,South American Indian languages,Collective,,
sal,,sal,,Salishan languages,Collective,,
sam,sam,,,Samaritan Aramaic,Individual,Extinct,
san,san,,sa,Sanskrit,Individual,Ancient,
sas,sas,,,Sasak,Individual,Living,
sat,sat,,,Santali,Individual,Living,
scn,scn,,,Sicilian,Individual,Living,
sco,sco,,,Scots,Individual,Living,
sel,sel,,,Selkup,Individual,Living,
sem,,sem,,Semitic languages,Collective,,
sga,sga,,,Old Irish (to 900),Individual,Historical,
sgn,,sgn,,Sign languages,Collective,,
shn,shn,,,Shan,Individual,Living,
sid,sid,,,Sidamo,Individual,Living,
sin,sin,,si,Sinhala; Sinhalese,Individual,Living,
sio,,sio,,Siouan languages,Collective,,
sit,,sit,,Sino-Tibetan languages,Collective,,
sla,,sla,,Slavic languages,Collective,,
slo* / slk,slk,,sk,Slovak,Individual,Living,
slk / slo*,slk,,sk,Slovak,Individual,Living,
slv,slv,,sl,Slovenian,Individual,Living,Slovene
sma,sma,,,Southern Sami,Individual,Living,
sme,sme,,se,Northern Sami,Individual,Living,
smi,,smi,,Sami languages,Collective,,
smj,smj,,,Lule Sami,Individual,Living,
smn,smn,,,Inari Sami,Individual,Living,
smo,smo,,sm,Samoan,Individual,Living,
sms,sms,,,Skolt Sami,Individual,Living,
sna,sna,,sn,Shona,Individual,Living,
snd,snd,,sd,Sindhi,Individual,Living,
snk,snk,,,Soninke,Individual,Living,
sog,sog,,,Sogdian,Individual,Ancient,
som,som,,so,Somali,Individual,Living,
son,,son,,Songhai languages,Collective,,Songhay languages
sot,sot,,st,Southern Sotho,Individual,Living,
spa,spa,,es,Spanish; Castilian,Individual,Living,
sqi / alb*,sqi,,sq,Albanian,Macrolanguage,Living,
srd,srd,,sc,Sardinian,Macrolanguage,Living,
srn,srn,,,Sranan Tongo,Individual,Living,
srp,srp,,sr,Serbian,Individual,Living,
srr,srr,,,Serer,Individual,Living,
ssa,,ssa,,Nilo-Saharan languages,Collective,,
ssw,ssw,,ss,Swati,Individual,Living,Swazi
suk,suk,,,Sukuma,Individual,Living,
sun,sun,,su,Sundanese,Individual,Living,
sus,sus,,,Susu,Individual,Living,
sux,sux,,,Sumerian,Individual,Ancient,
swa,swa,,sw,Swahili,Macrolanguage,Living,
swe,swe,,sv,Swedish,Individual,Living,
syc,syc,,,Classical Syriac,Individual,Historical,
syr,syr,,,Syriac,Macrolanguage,Living,
tah,tah,,ty,Tahitian,Individual,Living,
tai,,tai,,Tai languages,Collective,,
tam,tam,,ta,Tamil,Individual,Living,
tat,tat,,tt,Tatar,Individual,Living,
tel,tel,,te,Telugu,Individual,Living,
tem,tem,,,Timne,Individual,Living,Temne
ter,ter,,,Tereno,Individual,Living,Terena
tet,tet,,,Tetum,Individual,Living,
tgk,tgk,,tg,Tajik,Individual,Living,
tgl,tgl,,tl,Tagalog,Individual,Living,
tha,tha,,th,Thai,Individual,Living,
tib* / bod,bod,,bo,Tibetan,Individual,Living,
tig,tig,,,Tigre,Individual,Living,
tir,tir,,ti,Tigrinya,Individual,Living,
tiv,tiv,,,Tiv,Individual,Living,
tkl,tkl,,,Tokelau,Individual,Living,Tokelauan
tlh,tlh,,,Klingon; tlhIngan-Hol,Individual,Constructed,
tli,tli,,,Tlingit,Individual,Living,
tmh,tmh,,,Tamashek,Macrolanguage,Living,Tamasheq
tog,tog,,,Tonga (Nyasa),Individual,Living,
ton,ton,,to,Tonga (Tonga Islands),Individual,Living,Tongan
tpi,tpi,,,Tok Pisin,Individual,Living,
tsi,tsi,,,Tsimshian,Individual,Living,
tsn,tsn,,tn,Tswana,Individual,Living,
tso,tso,,ts,Tsonga,Individual,Living,
tuk,tuk,,tk,Turkmen,Individual,Living,
tum,tum,,,Tumbuka,Individual,Living,
tup,,tup,,Tupi languages,Collective,,Tupian languages
tur,tur,,tr,Turkish,Individual,Living,
tut,,tut,,Altaic languages,Collective,,
tvl,tvl,,,Tuvalua,Individual,Living,Tuvaluan
twi,twi,,tw,Twi,Individual,Living,
tyv,tyv,,,Tuvinian,Individual,Living,Tuvan
udm,udm,,,Udmurt,Individual,Living,
uga,uga,,,Ugaritic,Individual,Ancient,
uig,uig,,ug,Uighur; Uyghur,Individual,Living,
ukr,ukr,,uk,Ukrainian,Individual,Living,
umb,umb,,,Umbundu,Individual,Living,
und,und,,,Undetermined,Special,,
urd,urd,,ur,Urdu,Individual,Living,
uzb,uzb,,uz,Uzbek,Macrolanguage,Living,
vai,vai,,,Vai,Individual,Living,
ven,ven,,ve,Venda,Individual,Living,
vie,vie,,vi,Vietnamese,Individual,Living,
vol,vol,,vo,Volapük,Individual,Constructed,
vot,vot,,,Votic,Individual,Living,
wak,,wak,,Wakashan languages,Collective,,
wal,wal,,,Wolaitta; Wolaytta,Individual,Living,
war,war,,,Waray,Individual,Living,
was,was,,,Washo,Individual,Living,
wel* / cym,cym,,cy,Welsh,Individual,Living,
wen,,wen,,Sorbian languages,Collective,,
wln,wln,,wa,Walloon,Individual,Living,
wol,wol,,wo,Wolof,Individual,Living,
xal,xal,,,Kalmyk; Oirat,Individual,Living,
xho,xho,,xh,Xhosa,Individual,Living,
yao,yao,,,Yao,Individual,Living,
yap,yap,,,Yapese,Individual,Living,
yid,yid,,yi,Yiddish,Macrolanguage,Living,
yor,yor,,yo,Yoruba,Individual,Living,
ypk,,ypk,,Yupik languages,Collective,,
zap,zap,,,Zapotec,Macrolanguage,Living,
zbl,zbl,,,Blissymbols; Blissymbolics; Bliss,Individual,Constructed,
zen,zen,,,Zenaga,Individual,Living,
zgh,zgh,,,Standard Moroccan Tamazight,Individual,Living,Standard Moroccan Berber
zha,zha,,za,Zhuang; Chuang,Macrolanguage,Living,
zho / chi*,zho,,zh,Chinese,Macrolanguage,Living,
znd,,znd,,Zande languages,Collective,,
zul,zul,,zu,Zulu,Individual,Living,
zun,zun,,,Zuni,Individual,Living,
zxx,zxx,,,No linguistic content; Not applicable,Special,,
zza,zza,,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,Macrolanguage,Living,
